brand,car_model,battery_type,fast_charge_port,drivetrain,car_body_type,manufacturing_country,segment,feature,value,value_numeric,is_numeric,feature_type
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,seats,5.0,5.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,length_mm,4173.0,4173.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,width_mm,1781.0,1781.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,height_mm,1532.0,1532.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm_mapped,191.76612,191.76612,True,other
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,power_to_weight_ratio,0.3269230769230769,0.3269230769230769,True,performance
Alfa,Romeo Junior Elettrica 54 kWh,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency,2.0078740157480315,2.0078740157480315,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,top_speed_kmh,200.0,200.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,battery_capacity_kWh,50.8,50.8,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,number_of_cells,102.0,102.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm,345.0,345.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency_wh_per_km,164.0,164.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,range_km,310.0,310.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,acceleration_0_100_s,6.0,6.0,True,performance
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,fast_charging_power_kw_dc,85.0,85.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,towing_capacity_kg,1500.0,1500.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,cargo_volume_l,400.0,400.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,seats,5.0,5.0,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,length_mm,4173.0,4173.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,width_mm,1781.0,1781.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,height_mm,1505.0,1505.0,True,dimension
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm_mapped,254.45889000000005,254.45889000000005,True,other
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,power_to_weight_ratio,0.2463768115942029,0.2463768115942029,True,performance
Alfa,Romeo Junior Elettrica 54 kWh Veloce,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency,2.0078740157480315,2.0078740157480315,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,top_speed_kmh,160.0,160.0,True,performance
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,battery_capacity_kWh,52.0,52.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,number_of_cells,184.0,184.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,torque_nm,285.0,285.0,True,performance
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,efficiency_wh_per_km,138.0,138.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,range_km,310.0,310.0,True,performance
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,acceleration_0_100_s,7.4,7.4,True,performance
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,fast_charging_power_kw_dc,70.0,70.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,towing_capacity_kg,500.0,500.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,cargo_volume_l,326.0,326.0,True,dimension
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,seats,5.0,5.0,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,length_mm,3997.0,3997.0,True,dimension
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,width_mm,1823.0,1823.0,True,dimension
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,height_mm,1512.0,1512.0,True,dimension
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,torque_nm_mapped,210.20517,210.20517,True,other
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,power_to_weight_ratio,0.2456140350877192,0.2456140350877192,True,performance
Alpine,A290 Electric 180 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,efficiency,3.5384615384615383,3.5384615384615383,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,top_speed_kmh,170.0,170.0,True,performance
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,battery_capacity_kWh,52.0,52.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,number_of_cells,184.0,184.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,torque_nm,300.0,300.0,True,performance
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,efficiency_wh_per_km,144.0,144.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,range_km,305.0,305.0,True,performance
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,acceleration_0_100_s,6.4,6.4,True,performance
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,fast_charging_power_kw_dc,70.0,70.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,towing_capacity_kg,500.0,500.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,cargo_volume_l,326.0,326.0,True,dimension
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,seats,5.0,5.0,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,length_mm,3997.0,3997.0,True,dimension
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,width_mm,1823.0,1823.0,True,dimension
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,height_mm,1512.0,1512.0,True,dimension
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,torque_nm_mapped,221.2686,221.2686,True,other
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,power_to_weight_ratio,0.2333333333333333,0.2333333333333333,True,performance
Alpine,A290 Electric 220 hp,Lithium-ion,CCS,FWD,Hatchback,France,B - Compact,efficiency,3.5384615384615383,3.5384615384615383,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,top_speed_kmh,210.0,210.0,True,performance
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,battery_capacity_kWh,75.8,75.8,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,number_of_cells,150.0,150.0,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,torque_nm,435.0,435.0,True,performance
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,efficiency_wh_per_km,146.0,146.0,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,range_km,465.0,465.0,True,performance
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,acceleration_0_100_s,6.0,6.0,True,performance
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,fast_charging_power_kw_dc,150.0,150.0,True,other
